translation,word,language,language_code
mot,word,french,fr
woord,word,dutch,nl
focal,word,gaelic,ga
paraula,word,catallan,ca
Wort,word,german,de
워드,word,korean,ko
単語,word,japanese,ja
palabra,word,spanish,es
olelo,word,hawaiian,haw
tisser,weave,french,fr
weven,weave,dutch,nl
fhí,weave,gaelic,ga
teixir,weave,catallan,ca
weben,weave,german,de
짜다,weave,korean,ko
ウィーブ,weave,japanese,ja
tejido,weave,spanish,es
ulana i,weave,hawaiian,haw
Voyager,travel,french,fr
reizen,travel,dutch,nl
taisteal,travel,gaelic,ga
viatges,travel,catallan,ca
Reise,travel,german,de
여행,travel,korean,ko
旅行,travel,japanese,ja
viajar,travel,spanish,es
hele,travel,hawaiian,haw
paradis,paradise,french,fr
paradijs,paradise,dutch,nl
Paradise,paradise,gaelic,ga
paradís,paradise,catallan,ca
Paradies,paradise,german,de
파라다이스,paradise,korean,ko
パラダイス,paradise,japanese,ja
paraíso,paradise,spanish,es
paradaiso,paradise,hawaiian,haw
intention,intention,french,fr
intentie,intention,dutch,nl
intinn,intention,gaelic,ga
intenció,intention,catallan,ca
Absicht,intention,german,de
의향,intention,korean,ko
意図,intention,japanese,ja
intención,intention,spanish,es
manao,intention,hawaiian,haw
arbre,tree,french,fr
boom,tree,dutch,nl
crann,tree,gaelic,ga
arbre,tree,catallan,ca
Baum,tree,german,de
나무,tree,korean,ko
木,tree,japanese,ja
árbol,tree,spanish,es
laau,tree,hawaiian,haw
plante,plant,french,fr
fabriek,plant,dutch,nl
plandaí,plant,gaelic,ga
planta,plant,catallan,ca
Pflanze,plant,german,de
식물,plant,korean,ko
工場,plant,japanese,ja
planta,plant,spanish,es
kanu,plant,hawaiian,haw
combiner,combine,french,fr
combineren,combine,dutch,nl
le chéile,combine,gaelic,ga
combinar,combine,catallan,ca
kombinieren,combine,german,de
콤바인,combine,korean,ko
コンバイン,combine,japanese,ja
combinar,combine,spanish,es
hui pu iho,combine,hawaiian,haw
deux,two,french,fr
twee,two,dutch,nl
dhá,two,gaelic,ga
2,two,catallan,ca
zwei,two,german,de
두,two,korean,ko
二,two,japanese,ja
dos,two,spanish,es
ʻelua,two,hawaiian,haw
la synthèse,synthesis,french,fr
synthese,synthesis,dutch,nl
sintéis,synthesis,gaelic,ga
síntesi,synthesis,catallan,ca
Synthese,synthesis,german,de
합성,synthesis,korean,ko
合成,synthesis,japanese,ja
síntesis,synthesis,spanish,es
hoʻololi kemikala,synthesis,hawaiian,haw
positif,positive,french,fr
positief,positive,dutch,nl
dearfach,positive,gaelic,ga
positiu,positive,catallan,ca
positiv,positive,german,de
양,positive,korean,ko
ポジティブ,positive,japanese,ja
positivo,positive,spanish,es
maikaʻi,positive,hawaiian,haw
négatif,negative,french,fr
negatief,negative,dutch,nl
diúltach,negative,gaelic,ga
negatiu,negative,catallan,ca
Negativ,negative,german,de
부정,negative,korean,ko
負,negative,japanese,ja
negativo,negative,spanish,es
maikaʻi &#39;,negative,hawaiian,haw
vide,void,french,fr
nietig,void,dutch,nl
neamhní,void,gaelic,ga
buit,void,catallan,ca
Leere,void,german,de
빈,void,korean,ko
ボイド,void,japanese,ja
vacío,void,spanish,es
mea ole,void,hawaiian,haw
eau,water,french,fr
water,water,dutch,nl
uisce,water,gaelic,ga
aigua,water,catallan,ca
Wasser,water,german,de
물,water,korean,ko
水,water,japanese,ja
agua,water,spanish,es
ka wai,water,hawaiian,haw
Feu,fire,french,fr
brand,fire,dutch,nl
dóiteáin,fire,gaelic,ga
foc,fire,catallan,ca
Feuer,fire,german,de
불,fire,korean,ko
火災,fire,japanese,ja
fuego,fire,spanish,es
ke ahi,fire,hawaiian,haw
Terre,earth,french,fr
aarde,earth,dutch,nl
cré,earth,gaelic,ga
terra,earth,catallan,ca
Erde,earth,german,de
지구,earth,korean,ko
地球,earth,japanese,ja
tierra,earth,spanish,es
honua,earth,hawaiian,haw
métier à tisser,loom,french,fr
weefgetouw,loom,dutch,nl
loom,loom,gaelic,ga
teler,loom,catallan,ca
Webstuhl,loom,german,de
직조기,loom,korean,ko
織機,loom,japanese,ja
telar,loom,spanish,es
loom,loom,hawaiian,haw
harmonie,harmony,french,fr
harmonie,harmony,dutch,nl
chéile,harmony,gaelic,ga
harmonia,harmony,catallan,ca
Harmonie,harmony,german,de
조화,harmony,korean,ko
調和,harmony,japanese,ja
armonía,harmony,spanish,es
lokahi,harmony,hawaiian,haw
primitif,primal,french,fr
oer,primal,dutch,nl
primal,primal,gaelic,ga
primitiu,primal,catallan,ca
ursprünglich,primal,german,de
원시,primal,korean,ko
プライマル,primal,japanese,ja
primitivo,primal,spanish,es
primal,primal,hawaiian,haw
Soleil,sun,french,fr
zon,sun,dutch,nl
ghrian,sun,gaelic,ga
sol,sun,catallan,ca
Sonne,sun,german,de
태양,sun,korean,ko
太陽,sun,japanese,ja
sol,sun,spanish,es
lā,sun,hawaiian,haw
une fleur,flower,french,fr
bloem,flower,dutch,nl
bláth,flower,gaelic,ga
flor,flower,catallan,ca
Blume,flower,german,de
꽃,flower,korean,ko
花,flower,japanese,ja
flor,flower,spanish,es
pua,flower,hawaiian,haw
temps,time,french,fr
tijd,time,dutch,nl
am,time,gaelic,ga
temps,time,catallan,ca
Zeit,time,german,de
시각,time,korean,ko
時間,time,japanese,ja
tiempo,time,spanish,es
manawa,time,hawaiian,haw
vert,green,french,fr
groen,green,dutch,nl
glas,green,gaelic,ga
verd,green,catallan,ca
grün,green,german,de
녹색,green,korean,ko
緑,green,japanese,ja
verde,green,spanish,es
ʻōmaʻomaʻo,green,hawaiian,haw
lumière,light,french,fr
licht,light,dutch,nl
solas,light,gaelic,ga
llum,light,catallan,ca
Licht,light,german,de
빛,light,korean,ko
光,light,japanese,ja
ligero,light,spanish,es
malamalama,light,hawaiian,haw
la nature,nature,french,fr
natuur,nature,dutch,nl
nádúr,nature,gaelic,ga
naturalesa,nature,catallan,ca
Natur,nature,german,de
자연,nature,korean,ko
自然,nature,japanese,ja
naturaleza,nature,spanish,es
maoli,nature,hawaiian,haw
pureté,purity,french,fr
puurheid,purity,dutch,nl
íonachta,purity,gaelic,ga
